CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,905",-289,"1,480",-,"4,309.70",341.95,195,"4,306.95","4,328.55",65,"19,000.00","1,820",1.55,1.60,"4,940",-2.20,1.60,72.24,"2,73,000","1,609","86,478",
,"1,554",-41,576,-,"3,300.00",386.05,650,"3,301.85","3,317.75",65,"20,000.00","1,43,780",3.25,3.30,"19,175",-5.25,3.25,60.26,"4,22,747","47,803","2,31,783",
,2,-,-,-,"2,525.00",-,780,"2,760.95","2,868.55",780,"20,500.00",650,4.25,4.45,"1,755",-7.20,4.25,53.35,"2,49,824","31,428","66,861",
,-,-,-,-,-,-,780,"2,705.55","2,821.40",780,"20,550.00",520,4.30,4.60,"1,755",-7.70,4.30,52.55,"37,325",819,"2,275",
,-,-,-,-,-,-,780,"2,649.20","2,782.45",780,"20,600.00","1,365",4.50,4.55,"1,300",-7.75,4.50,51.97,"62,281","1,494","6,594",
,-,-,-,-,-,-,780,"2,532.75","2,717.85",780,"20,650.00","1,755",4.25,4.95,130,-8.65,4.40,50.93,"26,188","2,543","3,240",
,-,-,-,-,-,-,780,"2,358.50","2,705.80",780,"20,700.00","13,715",4.45,5.00,"1,885",-8.80,4.70,50.48,"57,173","3,340","6,926",
,-,-,-,-,-,-,780,"2,091.05","2,632.15",780,"20,750.00","1,820",4.60,4.80,"15,145",-9.40,4.80,49.72,"19,041","1,505","1,941",
,-,-,-,-,-,-,780,"2,450.45","2,559.75",780,"20,800.00","1,755",4.75,5.20,"1,755",-10.10,5.10,49.23,"86,593","1,036","8,010",
,6,-,-,-,"1,715.00",-,780,"2,283.65","2,539.15",780,"20,850.00","1,755",5.10,5.50,"1,755",-10.55,5.40,48.71,"60,195","-1,660","6,729",
,1,-,-,-,"1,747.05",-,780,"2,361.05","2,464.60",780,"20,900.00","1,690",5.50,5.75,"1,885",-11.65,5.50,47.93,"63,489","1,669","7,060",
,3,-,-,-,"2,537.65",4.20,780,"2,311.60","2,444.65",780,"20,950.00",715,5.90,6.05,"1,560",-11.85,6.10,47.71,"39,048","2,492","7,465",
,"5,341",-911,"2,371",-,"2,306.25",363.85,130,"2,311.70","2,331.40",65,"21,000.00","3,185",6.30,6.35,"1,040",-12.80,6.35,47.06,"4,57,963","32,773","1,23,400",
,2,-,-,-,"2,101.85",4.40,780,"2,202.80","2,313.75",780,"21,050.00",845,6.65,6.85,"1,755",-13.35,6.50,46.30,"29,616","1,480","3,155",
,2,-,-,-,"1,550.00",-,780,"2,163.20","2,257.05",780,"21,100.00","1,755",6.95,7.35,"1,755",-14.30,7.10,45.97,"95,547","3,579","11,905",
,2,-,-,-,"2,005.80",4.40,780,"2,104.30","2,220.25",780,"21,150.00","1,560",7.70,7.90,"1,495",-14.35,7.90,45.77,"36,220","1,347","3,192",
,2,-,-,-,"2,296.30",0.30,780,"2,064.65","2,157.40",780,"21,200.00",65,8.35,8.45,"3,770",-15.85,8.45,45.29,"1,49,371","11,949","21,226",
,5,-,-,-,"1,744.30",-6.35,780,"2,005.80","2,121.90",780,"21,250.00","1,495",8.85,9.15,325,-16.65,9.00,44.78,"37,515","3,035","4,484",
,1,-,-,-,"1,622.30",-3.85,780,"1,966.15","2,071.70",780,"21,300.00",650,9.55,9.70,"1,430",-17.80,9.55,44.24,"1,43,032","16,073","23,631",
,-,-,-,-,-,-,780,"1,827.50","2,023.85",780,"21,350.00",65,10.50,10.65,"1,300",-19.25,10.75,44.12,"48,025","1,443","4,325",
,8,1,8,-,"1,928.60",368.60,780,"1,871.00","1,973.40",780,"21,400.00",65,11.55,11.70,650,-10.00,11.70,43.76,"1,10,319","16,606","17,443",
,4,-,-,-,"1,499.25",-1.65,780,"1,809.95","1,911.35",780,"21,450.00","1,300",12.45,12.75,"1,300",-21.90,12.55,43.29,"48,342","2,652","5,771",
,"1,211",-254,"1,225",-,"1,814.60",334.60,325,"1,811.40","1,842.00",130,"21,500.00","1,755",13.35,13.70,780,-22.55,13.65,42.92,"4,74,087","44,379","1,03,337",
,6,-,-,-,"1,395.80",-,780,"1,712.65","1,827.05",780,"21,550.00","1,300",14.65,15.05,"1,300",13.65,14.55,42.40,"50,896","3,959","3,959",
,12,4,9,-,"1,730.00",291.00,780,"1,675.20","1,764.35",780,"21,600.00",65,16.15,16.35,"1,560",-26.50,16.05,42.14,"1,23,045","17,142","20,290",
,7,-,-,-,"1,315.60",-,780,"1,627.75","1,726.90",780,"21,650.00",65,17.60,17.75,715,16.65,17.75,41.90,"66,063","5,786","5,786",
,42,7,56,-,"1,596.60",308.65,195,"1,598.30","1,679.05",715,"21,700.00","1,755",19.15,19.40,"1,690",-30.50,19.25,41.50,"1,86,545","24,231","33,145",
,13,-,-,-,"1,121.55",-,780,"1,498.50","1,624.70",780,"21,750.00",65,20.90,21.10,"1,040",-32.95,21.05,41.18,"85,428","3,421","8,575",
,107,-4,45,37.59,"1,545.55",349.05,780,"1,479.25","1,565.20",780,"21,800.00",65,22.45,22.65,650,-36.35,22.40,40.62,"2,28,699","23,130","37,774",
,9,-,-,-,"1,101.15",-11.55,780,"1,437.05","1,521.00",780,"21,850.00",65,24.85,25.00,"1,560",-37.85,24.80,40.39,"83,297","2,691","4,631",
,181,7,46,-,"1,422.40",319.70,325,"1,422.75","1,486.00",780,"21,900.00",65,27.05,27.10,260,-40.75,27.10,40.06,"1,84,142","15,609","25,123",
,12,-,6,27.07,"1,384.05",354.50,"2,535","1,339.30","1,441.35",780,"21,950.00",910,29.40,29.70,"1,170",-43.95,29.55,39.71,"61,913","4,077","6,983",
,"15,235",399,"11,629",30.50,"1,339.85",334.60,130,"1,340.40","1,346.20",65,"22,000.00",260,31.95,32.25,"1,755",-47.70,31.95,39.28,"6,63,858","23,577","1,22,026",
,74,26,65,33.95,"1,299.75",352.80,780,"1,238.80","1,342.90",780,"22,050.00",845,34.80,35.00,650,-51.80,35.15,39.01,"76,355","6,068","9,229",
,377,-12,342,29.55,"1,241.90",323.55,195,"1,244.15","1,261.70",65,"22,100.00",65,37.75,37.95,130,-54.95,38.35,38.67,"1,70,354","7,454","15,824",
,88,10,55,-,"1,176.05",279.85,65,"1,194.75","1,217.00",65,"22,150.00",780,40.80,41.30,65,-60.65,40.70,38.04,"82,074","3,804","6,798",
