CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"20,100.00",130,17.10,18.90,325,18.85,18.90,41.11,924,559,559,
,-,-,-,-,-,-,-,-,-,-,"20,150.00",520,16.95,-,-,19.95,20.00,40.84,42,-,-,
,-,-,-,-,-,-,"1,690","2,076.95","2,848.15",65,"20,200.00","1,820",18.00,19.05,"3,120",-0.05,19.05,39.80,"38,660","6,950","13,435",
,-,-,-,-,-,-,"1,690","2,083.35","2,792.80",65,"20,250.00",520,18.80,21.00,65,1.70,21.25,39.90,"4,368",738,"1,122",
,-,-,-,-,-,-,"1,690","1,979.40","2,734.60",65,"20,300.00",65,21.25,23.50,195,2.30,23.45,39.93,"7,847",542,"1,174",
,-,-,-,-,-,-,"1,690","1,996.50","2,599.85","1,690","20,350.00","1,755",22.65,25.20,520,2.60,25.10,39.75,"1,822",80,168,
,-,-,-,-,-,-,"1,690","1,952.45","2,536.60",65,"20,400.00",195,26.00,27.00,65,2.25,26.00,39.30,"7,155","1,071","1,116",
,-,-,-,-,-,-,"1,690","1,903.60","2,491.20",65,"20,450.00",520,27.35,28.00,65,9.35,29.80,39.66,"2,968",379,393,
,15,2,6,-,"1,857.35",-122.65,65,"2,232.55","2,547.60",65,"20,500.00",65,30.80,31.85,195,3.00,31.95,39.49,"57,668","3,539","16,625",
,3,-,-,-,"2,138.05",-,"1,690","1,917.20","2,397.95","1,690","20,550.00",520,33.05,34.95,325,14.20,34.90,39.49,"4,534",343,347,
,4,-,-,-,"2,010.00",-,"1,690","1,864.15","2,363.40","1,690","20,600.00","1,61,200",20.15,-,-,20.10,20.15,34.69,1,1,1,
,10,-,-,-,"2,117.20",-,"1,690","1,767.20","2,332.10","1,690","20,650.00","39,130",20.15,-,-,-,-,-,-,-,-,
,16,-,-,-,"1,907.30",-,65,"1,809.65","2,373.05","1,690","20,700.00","1,13,035",20.20,-,-,-,-,-,-,-,-,
,4,-,-,-,"1,872.65",-,"1,690","1,723.60","2,217.60","1,690","20,750.00","38,285",20.30,-,-,-,-,-,-,-,-,
,2,-,-,-,"1,921.85",-,"1,690","1,715.85","2,151.60","1,690","20,800.00","1,30,455",20.35,-,-,-,-,-,-,-,-,
,8,-,2,-,"1,907.05",118.50,"1,690","1,666.60","2,062.15","1,690","20,850.00","49,790",20.50,-,-,-,-,-,-,-,-,
,4,2,4,-,"1,458.45",-161.40,"1,690","1,625.80","2,154.95",65,"20,900.00","1,49,435",20.60,-,-,-,-,-,-,-,-,
,8,4,10,-,"1,811.75",119.65,"1,690","1,584.90","1,998.85",65,"20,950.00","43,550",20.80,-,-,-,-,-,-,-,-,
,122,6,12,-,"1,754.05",-93.00,130,"1,764.00","1,794.60",65,"21,000.00",455,59.00,59.20,260,2.25,59.00,37.23,"45,910","5,749","10,082",
,4,2,4,-,"1,408.90",-196.45,"1,690","1,512.25","2,000.50","1,690","21,050.00","88,010",25.45,-,-,-,-,-,-,-,-,
,8,-,-,-,"1,792.00",-,"1,690","1,333.30","1,818.85",65,"21,100.00",65,64.40,65.90,130,37.70,65.90,36.67,"2,917",943,953,
,5,2,10,-,"1,605.25",85.70,65,"1,376.90","1,795.40",65,"21,150.00","53,885",35.80,-,-,-,-,-,-,-,-,
,4,2,2,-,"1,447.70",-27.25,390,"1,508.70","1,817.80",65,"21,200.00",65,72.00,73.40,520,36.15,72.10,35.90,"11,250","5,204","5,219",
