CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"20,200.00","1,560",16.05,16.25,"1,040",16.00,16.05,40.88,"8,752",-,"3,880",
,-,-,-,-,-,-,-,-,-,-,"20,250.00",390,17.80,19.70,390,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,300.00",390,19.15,-,-,20.00,20.05,40.94,10,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,350.00","2,080",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,400.00","3,380",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,450.00","10,660",20.05,-,-,-,-,-,-,-,-,
,6,3,8,-,"2,101.65",-253.35,130,"2,062.70","2,090.65",65,"20,500.00",130,26.05,26.20,520,-11.95,26.05,39.62,"80,578","23,185","56,532",
,1,-,-,-,-,-,"1,690","1,903.10","2,059.75",65,"20,550.00","66,040",20.05,-,-,20.00,20.05,37.05,33,12,12,
,-,-,-,-,-,-,65,"1,958.25","1,997.90",65,"20,600.00",260,29.45,29.55,130,-14.75,29.40,38.83,"21,735","7,730","10,226",
,-,-,-,-,-,-,65,"1,912.70","1,951.10",65,"20,650.00","67,405",20.05,-,-,20.00,20.05,35.50,45,21,21,
,-,-,-,-,-,-,65,"1,866.15","1,903.80",65,"20,700.00","75,790",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"1,819.80","1,857.15",65,"20,750.00","43,160",20.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"1,774.25","1,810.75",65,"20,800.00","2,54,085",20.05,-,-,20.00,20.05,33.16,127,126,126,
,2,-,-,-,-,-,"1,690","1,520.70","1,763.80",65,"20,850.00","51,740",20.05,-,-,-,-,-,-,-,-,
,2,-,-,-,-,-,"1,690","1,514.75","1,717.65",65,"20,900.00","89,310",20.05,-,-,-,-,-,-,-,-,
,2,-,1,29.87,"1,659.05",-104.35,65,"1,636.70","1,670.35",65,"20,950.00","73,385",20.10,-,-,-,-,-,-,-,-,
,"10,142",249,885,34.54,"1,630.00",-272.20,65,"1,609.05","1,621.20",260,"21,000.00",390,58.30,58.50,585,-9.65,58.50,38.40,"80,988","13,108","47,972",
,2,-,-,-,-,-,65,"1,546.60","1,577.95",65,"21,050.00","71,825",20.15,-,-,-,-,-,-,-,-,
,3,1,29,32.01,"1,526.50",-105.45,65,"1,323.95","1,533.40",65,"21,100.00","1,52,490",20.20,-,-,20.15,20.20,28.49,1,-,-,
,3,1,3,39.85,"1,527.10",-62.35,65,"1,463.05","1,658.40","1,820","21,150.00","62,270",20.25,-,-,-,-,-,-,-,-,
,1,-,1,29.21,"1,421.80",-847.20,65,"1,418.85","1,484.25","1,820","21,200.00",455,79.55,79.85,65,59.70,79.80,37.90,"15,355","3,977","4,024",
,1,-,1,29.96,"1,379.40",-802.90,65,"1,374.85","1,533.85",65,"21,250.00","75,075",20.45,-,-,-,-,-,-,-,-,
,4,1,5,35.79,"1,370.05",-109.95,65,"1,331.25","1,471.75","1,820","21,300.00","1,97,665",20.60,-,-,-,-,-,-,-,-,
,8,3,11,45.25,"1,405.25",-32.75,65,"1,288.05","1,428.55",65,"21,350.00","39,780",21.85,-,-,-,-,-,-,-,-,
,9,3,11,46.95,"1,382.05",-14.85,65,"1,245.30","1,312.95","1,820","21,400.00","64,740",26.65,-,-,-,-,-,-,-,-,
,9,2,10,35.34,"1,239.80",-491.60,65,"1,203.00","1,344.90","1,820","21,450.00","33,800",25.50,-,-,-,-,-,-,-,-,
,"2,810",213,495,33.68,"1,177.30",-281.05,65,"1,173.90","1,178.75",65,"21,500.00",585,118.40,118.85,65,-0.85,118.35,36.69,"72,484","19,445","38,713",
,12,3,15,35.14,"1,156.00",-112.90,65,"1,111.15","1,183.90","1,820","21,550.00","47,905",28.70,-,-,-,-,-,-,-,-,
,9,2,10,43.18,"1,193.00",-207.00,65,"1,079.75","1,120.90","1,820","21,600.00","4,29,975",56.35,-,-,56.20,56.35,26.87,45,44,44,
,11,3,14,34.95,"1,074.45",-115.75,65,"1,043.20","1,075.85",65,"21,650.00",260,148.15,148.75,65,45.55,148.70,36.63,"5,959","1,078","1,098",
,21,14,28,32.23,"1,010.00",-275.00,130,"1,003.80","1,020.10",130,"21,700.00","1,170",157.90,158.15,130,8.60,158.00,36.49,"15,721","1,452","3,522",
,1,-,1,38.35,"1,031.85","-1,464.40",65,963.20,986.65,65,"21,750.00","2,145",168.80,169.45,195,10.35,169.00,36.18,"2,627",359,615,
,20,10,19,32.48,934.60,-255.85,65,925.95,944.35,130,"21,800.00",65,179.20,179.55,130,12.60,179.30,36.13,"14,819","2,145","5,606",
,1,-,2,34.77,920.70,-324.35,65,889.25,912.05,65,"21,850.00",65,192.10,193.20,130,14.35,191.30,36.06,"2,543",241,659,
,36,24,63,32.89,864.10,-253.45,65,854.15,861.50,65,"21,900.00",65,204.50,204.95,65,17.45,204.05,35.94,"8,666",520,"3,076",
,87,87,129,31.95,817.70,-370.45,65,806.35,827.65,65,"21,950.00","63,050",62.35,-,-,-,-,-,-,-,-,
,"3,532",919,"3,337",32.71,784.25,-251.85,130,784.25,785.45,65,"22,000.00",195,230.50,231.00,260,24.00,230.45,35.56,"68,236","5,839","31,089",
,23,20,25,32.62,755.00,-617.40,65,747.05,753.00,195,"22,050.00",195,245.75,246.80,65,199.30,247.25,35.55,"1,991",399,401,
