CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"20,100.00","20,670",20.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,150.00","18,590",20.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","2,115.40","2,796.00",65,"20,200.00",65,56.75,59.95,845,23.70,45.00,35.68,875,271,291,
,-,-,-,-,-,-,"1,690","2,059.25","2,734.10","1,690","20,250.00","34,710",20.40,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","2,042.65","2,854.05","1,690","20,300.00","69,160",20.45,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,755","1,968.50","2,695.60","1,690","20,350.00","33,410",20.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,901.05","2,641.55",65,"20,400.00","54,340",20.70,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,879.45","2,587.80","1,690","20,450.00","29,445",20.85,-,-,-,-,-,-,-,-,
,1,-,-,-,"2,280.00",-,"1,690","1,833.25","2,521.05","1,690","20,500.00","2,42,190",21.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,775.05","2,489.75","1,690","20,550.00","46,410",21.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,726.85","2,382.95","1,690","20,600.00","91,780",21.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,690.60","2,339.85","1,690","20,650.00","33,865",21.85,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,637.55","2,288.25","1,690","20,700.00","81,250",24.40,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,684.00","2,259.35","1,690","20,750.00","32,045",28.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,525.70","2,322.00","1,690","20,800.00","57,720",32.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"1,509.70","2,250.00","1,690","20,850.00","2,210",36.65,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,452.25","2,198.95","1,690","20,900.00","5,070",42.90,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,418.50","2,136.95",65,"20,950.00","1,300",42.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,345.95","1,993.55","1,690","21,000.00",65,111.00,119.75,65,72.20,119.90,34.75,624,222,233,
,-,-,-,-,-,-,"1,690","1,306.15","2,047.95","1,690","21,050.00","3,250",49.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,265.05","1,947.60",65,"21,100.00","13,715",53.45,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,228.30","1,940.00","1,690","21,150.00",65,113.45,141.60,65,26.90,136.00,34.09,297,-31,71,
,-,-,-,-,-,-,"1,690","1,177.20","1,923.35","1,690","21,200.00","11,765",63.30,90.85,65,-,-,-,-,-,-,
,-,-,-,-,-,-,65,"1,202.05","1,883.05","1,690","21,250.00","4,615",69.05,101.95,65,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,157.10","1,796.90","1,690","21,300.00","6,630",77.45,113.90,65,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,063.05","1,744.50","1,690","21,350.00","4,420",87.30,127.15,65,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,059.30","1,667.00","1,690","21,400.00","6,890",98.00,141.45,65,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,022.55","1,640.90","1,690","21,450.00","1,560",109.65,156.75,65,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","1,016.40","1,547.35",65,"21,500.00",65,175.35,188.70,65,122.80,175.35,32.04,106,22,32,
,-,-,-,-,-,-,"1,690",929.80,"1,550.75",65,"21,550.00","1,560",128.05,191.40,65,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690",896.75,"1,497.55",65,"21,600.00",65,58.85,202.55,390,-,43.45,-,-,-,4,
,-,-,-,-,-,-,"1,690",862.85,"1,567.30","1,690","21,650.00",260,112.70,211.70,390,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690",852.45,"1,388.50",65,"21,700.00","7,020",66.75,222.45,390,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690",805.30,"1,379.00",65,"21,750.00","7,020",73.80,232.55,325,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690",746.35,"1,352.10","1,690","21,800.00","7,020",83.05,241.20,325,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690",712.85,"1,288.85",975,"21,850.00","8,775",93.10,252.05,325,-,-,-,-,-,-,
,1,1,1,10.80,930.00,-916.65,65,870.45,"1,149.65",65,"21,900.00",65,255.10,266.15,65,250.40,268.95,31.68,122,51,51,
,-,-,-,-,-,-,650,695.65,"1,228.80","1,690","21,950.00","1,690",216.45,276.00,325,-,-,-,-,-,-,
,-,-,-,-,-,-,195,829.55,"1,085.00",65,"22,000.00",65,280.05,285.95,260,9.70,286.00,30.92,"3,613",-293,"1,353",
,-,-,-,-,-,-,650,612.90,"1,138.05",975,"22,050.00","1,690",178.25,300.65,325,-,-,-,-,-,-,
,176,176,436,25.32,942.65,-716.30,65,945.65,"1,048.60",585,"22,100.00",65,300.90,312.60,65,299.75,329.30,31.57,91,30,30,
