CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,467",-438,728,-,"3,950.00",-367.15,65,"3,943.65","3,950.00",260,"19,000.00","93,340",1.30,1.35,"99,255",-0.20,1.35,75.43,"1,53,622","-10,068","76,410",
,"1,494",-60,356,-,"2,934.65",-363.65,325,"2,941.40","2,955.30",65,"20,000.00","1,92,725",1.90,1.95,"1,38,385",-1.60,1.90,59.62,"2,37,855",-154,"2,31,628",
,2,-,-,-,-,-,910,"2,404.20","2,466.30",65,"20,500.00","1,63,605",2.05,2.10,"88,075",-2.35,2.10,50.56,"1,60,271","8,186","75,047",
,-,-,-,-,-,-,780,"2,254.80","2,474.30",780,"20,550.00","38,545",2.05,2.10,"39,455",-2.40,2.10,49.72,"22,164",679,"2,954",
,-,-,-,-,-,-,"1,690","2,067.05","2,689.95",780,"20,600.00","26,325",2.15,2.20,"84,565",-2.40,2.15,48.88,"33,375","-1,159","5,435",
,-,-,-,-,-,-,780,"2,167.65","2,366.95",780,"20,650.00","51,480",2.15,2.20,"46,865",-2.50,2.15,48.16,"19,238",456,"3,696",
,-,-,-,-,-,-,780,"2,057.00","2,326.80",780,"20,700.00","77,870",2.15,2.20,"81,770",-2.55,2.15,47.06,"39,992","1,311","8,237",
,-,-,-,-,-,-,780,"2,150.35","2,251.40",780,"20,750.00","33,930",2.20,2.25,"50,895",-2.85,2.20,46.09,"14,459",540,"2,481",
,-,-,-,-,-,-,780,"2,027.05","2,208.30",780,"20,800.00","1,06,795",2.25,2.30,"1,08,680",-2.95,2.25,45.24,"37,521","2,615","10,625",
,6,-,-,-,-,-,780,"1,992.65","2,125.15",780,"20,850.00","87,750",2.35,2.40,"87,880",-2.95,2.35,44.71,"20,151",107,"6,836",
,1,-,-,-,-,-,780,"1,994.45","2,097.95",780,"20,900.00","74,035",2.40,2.45,"1,68,155",-3.35,2.40,44.04,"43,365","2,715","9,775",
,3,-,-,-,-,-,390,"1,951.35","2,035.65",780,"20,950.00","1,49,240",2.55,2.60,"1,36,630",-3.60,2.60,43.34,"37,192","3,629","11,094",
,"5,299",-42,"1,383",-,"1,942.30",-359.00,325,"1,944.35","1,949.95",715,"21,000.00","2,70,205",2.70,2.75,"3,38,845",-3.75,2.70,42.54,"3,45,765","6,697","1,30,096",
,2,-,-,-,-,-,780,"1,847.35","1,937.90",780,"21,050.00","1,00,230",2.75,2.80,"75,595",-4.00,2.75,41.81,"29,913","1,248","4,403",
,2,-,-,-,-,-,780,"1,707.55","1,904.70",780,"21,100.00","2,06,635",2.90,2.95,"2,01,175",-4.35,2.95,41.06,"1,04,899","3,674","15,579",
,2,-,-,-,-,-,780,"1,748.10","1,841.15",780,"21,150.00","23,920",3.05,3.15,"21,255",-4.75,3.15,40.53,"33,906",883,"4,075",
,2,-,-,-,-,-,780,"1,688.35","1,777.45",780,"21,200.00","30,485",3.20,3.30,"59,020",-5.05,3.20,39.67,"1,20,936","6,948","28,174",
,5,-,-,-,-,-,780,"1,653.25","1,740.25",780,"21,250.00","28,860",3.45,3.50,"17,225",-5.65,3.50,39.27,"43,580","3,882","8,366",
,1,-,-,-,-,-,780,"1,603.40","1,694.05",780,"21,300.00","43,030",3.70,3.75,"97,110",-5.95,3.70,38.56,"1,41,071","20,598","44,229",
,-,-,-,-,-,-,780,"1,501.70","1,643.80",780,"21,350.00","21,125",4.20,4.25,"15,535",-6.20,4.25,38.29,"46,408","4,237","8,562",
,8,-,1,44.01,"1,575.00",-353.60,130,"1,533.50","1,561.90",65,"21,400.00","41,340",4.60,4.65,"46,735",-7.05,4.60,37.66,"1,46,826","12,763","30,206",
,4,-,1,59.45,"1,570.00",69.10,780,"1,464.85","1,512.40",65,"21,450.00","9,425",5.20,5.25,"21,580",-7.05,5.25,37.38,"70,210","6,348","12,119",
,"1,189",-22,401,-,"1,449.25",-362.55,325,"1,447.80","1,453.30",65,"21,500.00","40,040",5.70,5.75,"21,255",-7.60,5.70,36.83,"4,77,856","19,786","1,23,123",
,6,-,1,56.43,"1,470.00",74.20,715,"1,385.30","1,412.60",260,"21,550.00","7,085",6.60,6.65,"16,770",-8.20,6.60,36.54,"85,456","7,388","11,347",
,15,3,18,42.07,"1,381.00",-349.00,845,"1,326.40","1,362.85",260,"21,600.00","16,250",7.40,7.45,"31,330",-8.40,7.40,36.16,"2,35,932","8,256","28,546",
,7,-,-,-,-,-,"2,535","1,265.10","1,326.70",780,"21,650.00","8,450",8.50,8.55,"8,385",-8.75,8.50,35.78,"83,692","3,809","9,595",
,36,-6,12,-,"1,246.70",-371.20,260,"1,250.95","1,265.15",780,"21,700.00","32,240",9.65,9.75,"34,840",-9.20,9.70,35.38,"2,49,661","15,398","48,543",
,16,3,23,52.75,"1,280.00",158.45,715,"1,189.40","1,217.95",260,"21,750.00","2,470",11.05,11.10,"4,875",-9.50,11.05,35.11,"1,22,282","5,052","13,627",
,100,-7,27,46.07,"1,172.00",-373.55,65,"1,142.75","1,169.80",195,"21,800.00","12,025",12.65,12.70,"5,980",-9.20,12.60,34.72,"3,23,170","35,167","72,941",
,9,-,6,-,"1,092.50",-20.20,65,"1,100.70","1,121.10",130,"21,850.00","8,515",14.65,14.75,"6,695",-8.95,14.65,34.42,"1,27,123","7,232","11,863",
,137,-44,107,32.61,"1,078.90",-336.45,"1,885","1,054.75","1,065.20",65,"21,900.00","3,380",16.95,17.00,"1,300",-9.35,16.95,34.14,"2,71,193","12,147","37,270",
,10,-2,7,49.66,"1,020.80",-363.25,780,"1,006.70","1,017.10",260,"21,950.00",780,19.70,19.75,"3,835",-9.10,19.75,33.95,"1,31,853","10,713","17,696",
,"13,257","-1,978","8,462",30.50,968.90,-353.15,65,968.90,969.70,260,"22,000.00","2,535",22.70,22.80,"11,570",-8.20,22.70,33.64,"8,54,683","40,742","1,62,769",
,77,3,53,31.70,914.95,-384.80,260,919.50,924.40,260,"22,050.00","3,835",26.05,26.15,"6,370",-8.15,26.10,33.28,"1,68,800","10,407","19,636",
,384,7,69,29.00,866.00,-367.15,260,873.65,877.80,260,"22,100.00","3,640",29.80,29.90,"6,370",-7.15,29.85,33.01,"3,50,646","20,305","36,129",
,102,14,63,31.32,829.55,-357.30,260,827.20,831.70,260,"22,150.00","1,495",34.10,34.20,"1,560",-6.45,34.05,32.66,"2,09,448","12,790","19,588",
,"1,396",147,"1,403",31.18,782.50,-362.00,195,783.20,785.25,65,"22,200.00","4,810",38.90,39.00,"1,950",-4.75,39.05,32.37,"4,23,493","18,560","43,563",
,240,-,58,29.09,724.10,-379.00,260,738.45,741.85,260,"22,250.00","2,600",44.40,44.50,"1,690",-2.85,44.45,32.03,"2,60,307","15,869","21,400",
,"2,671",-821,"3,188",31.02,698.00,-349.15,130,695.90,697.80,65,"22,300.00",975,50.45,50.60,"4,225",-1.05,50.45,31.74,"4,86,328","24,769","57,877",
,398,-55,187,28.80,645.80,-362.15,65,651.95,655.20,260,"22,350.00","4,485",57.60,57.75,"1,430",2.30,57.70,31.41,"2,11,347","7,696","18,377",
,"2,373",136,"2,503",29.88,612.80,-348.95,325,609.95,611.45,65,"22,400.00",975,65.30,65.45,390,4.60,65.50,31.17,"4,70,235","18,787","55,080",
,945,-10,948,29.37,570.75,-340.35,130,569.10,570.65,455,"22,450.00","1,625",74.15,74.35,"1,365",8.15,74.45,30.97,"2,80,984","9,628","21,621",
,"22,672",566,"38,379",29.37,529.30,-340.45,260,528.95,529.95,65,"22,500.00",195,84.00,84.15,"2,210",12.00,84.10,30.61,"14,46,400","49,070","1,44,939",
,"1,916",100,"2,199",28.98,490.15,-338.65,390,489.45,490.55,65,"22,550.00",585,94.95,95.15,455,17.00,95.00,30.41,"4,02,010","17,512","24,725",
,"7,440",-215,"13,684",28.86,452.40,-327.30,65,451.65,452.50,195,"22,600.00",195,107.05,107.15,130,22.15,106.95,30.04,"6,18,638","14,725","53,601",
,"2,235",131,"5,629",28.59,416.60,-325.50,130,415.30,416.20,65,"22,650.00",780,120.40,120.65,520,27.40,120.35,29.80,"3,08,524","10,814","19,469",
,"11,419","1,371","33,468",28.50,380.25,-322.50,260,380.15,380.90,390,"22,700.00",130,135.35,135.60,"1,625",34.85,135.60,29.51,"6,38,443","20,164","54,827",
,"4,187",862,"18,551",28.14,346.85,-317.10,65,346.60,347.10,325,"22,750.00",780,151.50,151.75,65,42.25,151.80,29.35,"4,11,108","13,849","25,502",
,"22,570","7,205","1,19,432",28.06,314.30,-307.85,585,314.55,315.05,130,"22,800.00",650,169.55,169.90,"1,755",50.25,169.50,29.17,"10,99,114","32,196","77,669",
,"7,175","5,422","64,713",27.83,284.10,-295.25,195,284.30,284.75,65,"22,850.00",130,189.05,189.30,65,59.55,189.10,28.88,"5,54,202","19,805","28,052",
,"45,287","31,378","3,51,609",27.74,255.65,-286.10,195,255.80,256.20,"1,040","22,900.00",130,210.65,210.95,910,69.50,210.95,28.70,"12,80,988","56,367","88,536",
,"39,730","37,284","4,33,628",27.58,228.55,-275.10,260,228.50,228.90,325,"22,950.00",130,233.45,233.80,195,79.95,233.75,28.45,"10,14,436","40,758","51,137",
,"1,70,603","1,23,905","15,66,048",27.40,203.95,-265.05,130,203.65,203.90,130,"23,000.00",455,258.20,258.70,975,91.90,258.75,28.22,"25,87,709","48,959","1,59,603",
,"62,464","57,164","7,75,504",27.24,180.55,-252.95,65,180.30,180.50,520,"23,050.00",780,284.90,285.45,65,103.85,285.25,28.14,"9,44,741","18,159","30,364",
,"94,820","82,110","11,01,161",27.12,159.00,-239.35,650,159.10,159.40,455,"23,100.00",520,313.45,314.05,780,117.30,314.20,28.09,"9,93,914","15,338","43,113",
,"35,782","29,938","4,63,936",26.90,139.80,-224.90,325,139.60,139.85,585,"23,150.00",130,343.90,344.55,65,130.75,344.50,27.96,"2,91,526","-1,992","13,228",
,"97,788","70,960","9,37,029",26.89,122.30,-212.70,520,122.15,122.35,520,"23,200.00",195,376.45,377.20,390,145.05,376.80,28.11,"4,52,474","-2,931","47,746",
,"36,024","26,353","3,44,137",26.77,106.35,-198.75,"1,105",106.20,106.40,455,"23,250.00",130,410.30,411.10,65,156.90,408.75,28.02,"1,19,742","-4,824","11,124",
,"86,632","46,217","8,61,677",26.77,92.00,-185.45,"2,730",91.95,92.15,585,"23,300.00",65,446.15,446.85,65,174.25,446.90,27.83,"2,05,661","-20,391","25,005",
,"32,898","17,321","3,05,670",26.74,79.40,-171.80,"3,900",79.40,79.60,"2,210","23,350.00",65,483.60,484.55,130,188.90,483.35,27.92,"39,494","-5,747","6,434",
,"78,634","36,973","6,45,898",26.72,68.60,-156.10,"1,625",68.50,68.60,"1,560","23,400.00",65,522.45,523.60,130,202.65,522.25,28.39,"85,305","-10,842","20,458",
,"30,859","16,619","2,95,265",26.70,58.75,-141.85,975,58.70,58.80,260,"23,450.00",130,562.85,563.95,130,218.30,563.80,28.16,"17,609","-4,037","5,152",
,"1,64,879","92,342","10,35,105",26.73,50.30,-128.05,"5,200",50.20,50.30,195,"23,500.00",65,604.10,605.40,650,230.50,604.20,28.58,"80,567","-8,297","28,612",
,"28,855","19,734","2,68,928",26.81,42.85,-114.50,"3,965",42.85,42.95,"1,170","23,550.00",65,646.85,648.55,455,254.45,658.40,28.27,"6,387",-864,"3,022",
,"59,434","32,327","5,11,387",26.89,36.60,-102.75,"4,030",36.60,36.70,"1,300","23,600.00",65,691.35,692.95,65,256.30,690.00,28.41,"12,427","-1,551","6,447",
,"20,016","12,086","2,66,949",27.01,31.30,-90.85,"4,095",31.15,31.30,"6,500","23,650.00",260,735.05,737.65,260,269.20,736.80,28.78,"1,972",-371,"1,888",
,"55,412","16,873","5,05,248",27.17,26.65,-79.80,"7,670",26.55,26.65,"2,340","23,700.00",65,779.75,781.95,780,277.25,777.00,28.85,"5,219","-1,095","7,527",
,"18,283","7,341","2,15,697",27.30,22.70,-70.80,"6,110",22.60,22.70,910,"23,750.00",260,824.05,828.40,260,307.80,845.00,31.78,"1,033",-251,"1,874",
,"67,932","23,554","4,58,431",27.52,19.35,-61.35,"6,825",19.25,19.35,"9,815","23,800.00",325,872.15,874.70,"1,755",297.55,874.05,29.82,"5,608",-905,"10,773",
,"21,431","11,143","1,67,679",27.71,16.50,-53.60,"6,955",16.50,16.55,"1,040","23,850.00",260,919.25,922.60,"1,950",307.10,920.55,32.76,372,-78,"2,493",
,"57,324","25,667","2,80,180",27.92,14.15,-46.35,"25,870",14.10,14.15,"1,170","23,900.00",65,965.95,970.00,"1,820",307.55,965.00,29.64,"1,543",-558,"3,797",
,"20,260","8,340","1,38,967",28.24,12.30,-40.00,"5,330",12.25,12.30,"5,525","23,950.00",260,"1,015.75","1,018.90",195,314.45,"1,017.00",37.73,89,-25,801,
,"1,68,832","50,322","7,03,608",28.55,10.65,-34.75,"28,340",10.55,10.60,"1,755","24,000.00",130,"1,064.40","1,067.90",65,323.25,"1,066.00",32.15,"13,529","-3,703","36,646",
,"16,225","4,622","1,03,596",28.81,9.15,-29.85,910,9.15,9.20,"17,160","24,050.00",65,"1,109.65","1,116.70","1,820",324.90,"1,119.30",33.82,56,-18,608,
,"39,412","5,442","2,03,804",29.04,7.90,-25.80,"30,485",7.90,7.95,"20,345","24,100.00",195,"1,157.85","1,163.90",65,330.20,"1,166.30",36.87,224,-44,"2,359",
,"14,787","1,988","1,03,041",29.38,6.90,-22.50,"15,925",6.90,6.95,"10,920","24,150.00",715,"1,208.70","1,212.90",65,329.25,"1,211.50",-,66,-36,"1,178",
,"50,017","9,559","2,40,691",29.69,6.05,-18.75,"27,170",6.00,6.05,"64,220","24,200.00",130,"1,257.00","1,261.45",715,336.00,"1,253.60",32.39,"1,002",-239,"5,538",
,"20,580","9,165","79,486",30.12,5.40,-16.05,"31,525",5.35,5.40,"3,900","24,250.00",845,"1,303.65","1,313.55",65,372.25,"1,330.00",-,42,-4,817,
,"53,714","24,821","2,31,719",30.38,4.75,-14.10,"1,55,155",4.70,4.75,"79,040","24,300.00",195,"1,357.25","1,363.25",845,348.20,"1,364.65",36.35,"1,598",-581,"4,512",
,"12,417","3,023","60,270",30.79,4.20,-11.85,"13,390",4.15,4.20,"25,350","24,350.00",195,"1,403.00","1,410.95",65,299.35,"1,378.65",-,12,-4,376,
,"43,793","19,194","2,05,292",31.14,3.60,-10.30,"30,875",3.60,3.65,"1,16,805","24,400.00",130,"1,450.75","1,461.80",65,360.55,"1,461.30",38.79,186,-35,"4,000",
,"14,211","5,999","65,575",31.53,3.30,-8.80,"12,090",3.25,3.30,"14,690","24,450.00",195,"1,500.45","1,510.40",65,356.30,"1,507.35",-,58,-4,"1,014",
,"1,55,909","40,348","4,05,874",31.93,2.85,-7.40,"4,67,090",2.85,2.90,"3,89,545","24,500.00",65,"1,557.05","1,561.30",195,350.30,"1,560.90",39.68,"5,169","-1,995","18,580",
,"22,487","14,199","77,770",32.49,2.70,-6.55,"2,13,200",2.65,2.70,"2,80,995","24,550.00",65,"1,602.10","1,608.60",65,319.35,"1,577.05",-,8,-2,687,
,"31,308","5,881","1,26,306",32.86,2.35,-5.70,"1,98,900",2.35,2.40,"2,68,905","24,600.00",260,"1,654.20","1,659.60",65,334.10,"1,649.35",38.94,554,-259,"5,784",
,"9,445",512,"52,777",33.35,2.30,-4.85,"1,06,405",2.25,2.30,"1,40,465","24,650.00",715,"1,689.60","1,722.55",780,-,-,21.70,-,-,526,
,"41,796","15,205","1,43,608",33.79,2.00,-4.25,"4,12,945",2.00,2.05,"2,24,120","24,700.00",130,"1,754.70","1,760.90",65,375.80,"1,772.65",47.48,673,-513,"12,863",
,"9,581","2,684","47,712",34.40,2.00,-3.70,"1,53,010",1.95,2.00,"1,42,610","24,750.00",195,"1,800.65","1,808.85",390,305.50,"1,752.65",-,33,-28,580,
,"35,079",255,"1,28,029",34.88,1.95,-2.85,"3,77,975",1.90,1.95,"2,52,200","24,800.00",130,"1,853.30","1,859.95",65,358.85,"1,857.20",49.84,542,-270,"4,806",
,"9,361","1,563","36,485",35.57,1.85,-2.60,"1,63,020",1.85,1.90,"1,37,410","24,850.00",130,"1,901.90","1,913.50",715,355.00,"1,895.00",-,36,-20,457,
,"20,083",535,"87,929",36.12,1.70,-2.15,"2,34,910",1.70,1.75,"2,97,830","24,900.00",780,"1,955.30","1,961.85",130,365.40,"1,961.60",49.82,856,-303,"3,663",
,"4,370",5,"25,256",36.65,1.60,-2.00,"97,955",1.60,1.65,"79,820","24,950.00",65,"2,001.90","2,011.95",715,336.50,"1,998.50",-,23,-13,276,
,"1,41,973","15,601","3,53,581",37.29,1.65,-1.65,"4,12,490",1.60,1.65,"5,44,245","25,000.00",65,"2,053.05","2,054.90",65,356.40,"2,054.90",48.33,"3,630","-1,090","45,725",
,"4,348",-132,"21,534",37.78,1.50,-1.45,"59,150",1.50,1.55,"90,285","25,050.00",195,"2,100.10","2,119.75",715,314.70,"2,049.00",-,14,-9,208,
,"20,916",980,"47,796",38.39,1.40,-1.10,"1,44,755",1.40,1.45,"2,18,530","25,100.00",715,"2,153.15","2,160.40",130,344.65,"2,165.00",57.41,262,-31,"1,730",
,"4,540",-649,"12,308",38.84,1.40,-0.90,"54,795",1.35,1.40,"47,515","25,150.00",195,"2,203.25","2,217.25",715,398.35,"2,152.00",-,31,-8,349,
,"27,834","2,297","73,917",39.42,1.30,-0.80,"2,63,770",1.25,1.30,"1,62,110","25,200.00",195,"2,251.00","2,255.65",130,356.65,"2,252.70",53.56,402,-107,"11,685",
,"9,129","4,877","17,364",39.99,1.15,-0.95,"1,66,920",1.15,1.20,"3,45,800","25,250.00",715,"2,296.65","2,311.15",715,408.00,"2,298.95",55.92,44,-36,372,
,"11,548","-3,129","30,528",40.73,1.20,-0.60,"1,26,555",1.20,1.25,"1,51,645","25,300.00",130,"2,353.25","2,361.20",65,349.15,"2,351.60",62.52,348,-228,"2,352",
,"2,195",275,"4,291",41.64,1.20,-0.65,"31,005",1.20,1.25,"31,525","25,350.00",195,"2,394.80","2,419.35",325,338.35,"2,350.00",-,11,-9,280,
,"15,576","2,862","32,626",42.01,1.15,-0.60,"1,43,390",1.15,1.20,"1,31,820","25,400.00",195,"2,453.20","2,464.65",65,368.65,"2,462.80",56.33,415,-121,"5,429",
,"3,063",-171,"14,835",42.93,1.15,-0.45,"53,690",1.15,1.20,"56,225","25,450.00",130,"2,495.85","2,516.20",715,302.20,"2,450.00",-,59,-47,"1,489",
,"50,652","-3,682","84,012",43.06,1.15,-0.40,"2,96,920",1.10,1.15,"2,92,045","25,500.00",65,"2,552.20","2,560.15",325,367.30,"2,570.00",57.02,"2,253","-1,434","16,101",
,"2,721",126,"7,358",44.19,1.10,-0.40,"42,250",1.10,1.15,"48,490","25,550.00",65,"2,595.80","2,618.80",130,307.95,"2,552.60",-,8,-2,517,
,"15,756",-637,"22,352",44.70,1.15,-0.25,"1,48,720",1.10,1.15,"1,03,545","25,600.00",130,"2,652.90","2,665.05",65,357.30,"2,652.20",65.35,554,-453,"7,872",
,"1,911",-350,"4,624",45.42,1.10,-0.25,"24,310",1.10,1.15,"22,425","25,650.00",780,"2,698.25","2,712.60",715,337.80,"2,690.90",-,13,-5,388,
,"13,262","-1,641","22,942",45.91,1.05,-0.10,"75,465",1.05,1.10,"54,860","25,700.00",260,"2,753.25","2,759.75",130,371.35,"2,759.65",64.62,"1,038",-578,"7,303",
,"2,285",164,"3,748",46.39,1.05,-0.15,"26,585",1.00,1.05,"35,100","25,750.00",195,"2,793.00","2,811.60",715,360.70,"2,799.70",65.34,10,-8,624,
,"16,536","-3,600","36,793",47.32,1.05,-,"96,720",1.00,1.05,"53,495","25,800.00",65,"2,852.40","2,861.30",325,367.50,"2,861.15",66.51,"2,865","-2,016","9,070",
,"1,327",-281,"3,105",47.79,1.05,-0.05,"11,180",1.00,1.05,"16,055","25,850.00",715,"2,889.10","2,942.05",715,-,-,61.38,-,-,404,
,"9,549","-4,139","29,105",48.72,1.00,0.05,"1,47,290",1.00,1.05,"1,01,985","25,900.00",65,"2,955.00","2,963.00",195,364.45,"2,964.55",75.73,254,-38,"4,853",
,"2,238",953,"7,245",49.18,1.00,-0.05,"27,755",0.95,1.00,"22,815","25,950.00",65,"3,000.05","3,014.20",65,485.00,"3,010.00",-,1,-,177,
,"86,103",618,"93,610",49.62,0.90,-0.10,"1,50,605",0.90,0.95,"1,25,840","26,000.00",65,"3,059.00","3,062.00",65,353.15,"3,057.25",68.92,"2,469","-1,010","47,397",
,"1,394",333,"2,820",50.04,0.95,-,"16,705",0.90,0.95,"4,680","26,050.00",260,"3,091.35","3,122.90",715,330.75,"3,085.35",46.96,2,-,193,
,"5,476",-819,"11,779",50.72,0.95,-,"43,095",0.90,0.95,"83,395","26,100.00",130,"3,150.05","3,164.70",260,358.10,"3,165.00",72.11,603,-145,"2,213",
,"1,797",215,"2,380",51.40,0.90,-,"5,395",0.85,0.90,"10,725","26,150.00",65,"3,193.90","3,224.20",260,-28.95,"3,192.85",66.35,2,-,259,
,"5,910",-227,"6,549",51.80,0.80,-0.05,"37,310",0.80,0.85,"51,675","26,200.00",195,"3,243.70","3,263.35",715,353.00,"3,260.00",70.20,187,-101,"2,686",
